iter	Passed	Remaining
815	3690	832
816	3694	827
817	3698	822
818	3702	818
819	3706	813
820	3711	809
821	3715	804
822	3718	799
823	3723	795
824	3727	790
825	3731	786
826	3735	781
827	3739	776
828	3743	772
829	3747	767
830	3752	763
831	3757	758
832	3761	754
833	3765	749
834	3769	744
835	3774	740
836	3779	735
837	3784	731
838	3789	727
839	3793	722
840	3797	717
841	3801	713
842	3804	708
843	3809	704
844	3813	699
845	3816	694
846	3821	690
847	3825	685
848	3829	681
849	3833	676
850	3837	671
851	3841	667
852	3845	662
853	3849	658
854	3853	653
855	3857	648
856	3861	644
857	3865	639
858	3870	635
859	3874	630
860	3878	626
861	3882	621
862	3886	617
863	3891	612
864	3894	607
865	3898	603
866	3902	598
867	3906	594
868	3909	589
869	3913	584
870	3917	580
871	3921	575
872	3925	571
873	3929	566
874	3933	561
875	3937	557
876	3941	552
877	3945	548
878	3949	543
879	3953	539
880	3956	534
881	3960	529
882	3964	525
883	3968	520
884	3972	516
885	3976	511
886	3980	507
887	3984	502
888	3989	498
889	3994	493
890	3999	489
891	4004	484
892	4009	480
893	4013	475
894	4018	471
895	4024	467
896	4029	462
897	4035	458
898	4040	453
899	4045	449
900	4049	444
901	4053	440
902	4058	435
903	4062	431
904	4066	426
905	4070	422
906	4074	417
907	4078	413
908	4082	408
909	4086	404
910	4090	399
911	4094	395
912	4098	390
913	4102	385
914	4106	381
915	4110	376
916	4114	372
917	4118	367
918	4122	363
919	4127	358
920	4130	354
921	4134	349
922	4138	345
923	4142	340
924	4146	336
925	4150	331
926	4154	327
927	4158	322
928	4162	318
929	4166	313
930	4170	309
931	4173	304
932	4177	300
933	4181	295
934	4185	290
935	4189	286
936	4193	281
937	4197	277
938	4201	272
939	4205	268
940	4210	263
941	4213	259
942	4217	254
943	4221	250
944	4225	245
945	4229	241
946	4232	236
947	4236	232
948	4240	227
949	4244	223
950	4248	218
951	4252	214
952	4256	209
953	4260	205
954	4264	200
955	4268	196
956	4273	192
957	4277	187
958	4280	183
959	4285	178
960	4289	174
961	4293	169
962	4297	165
963	4301	160
964	4305	156
965	4309	151
966	4313	147
967	4317	142
968	4321	138
969	4325	133
970	4329	129
971	4333	124
972	4337	120
973	4341	115
974	4345	111
975	4349	106
976	4354	102
977	4358	98
978	4364	93
979	4369	89
980	4372	84
981	4377	80
982	4381	75
983	4385	71
984	4389	66
985	4393	62
986	4396	57
987	4400	53
988	4404	48
989	4408	44
990	4412	40
991	4416	35
992	4420	31
993	4424	26
994	4428	22
995	4431	17
996	4435	13
997	4439	8
998	4443	4
999	4448	0
